"Month,""Sales"""
2019-01,266.0
2019-02,145.9
2019-03,183.1
2019-04,119.3
2019-05,180.3
2019-06,168.5
2019-07,231.8
2019-08,224.5
2019-09,192.8
2019-10,122.9
2019-11,336.5
2019-12,185.9
2020-01,194.3
2020-02,149.5
2020-03,210.1
2020-04,273.3
2020-05,191.4
2020-06,287.0
2020-07,226.0
2020-08,303.6
2020-09,289.9
2020-10,421.6
2020-11,264.5
2020-12,342.3
2021-01,339.7
2021-02,440.4
2021-03,315.9
2021-04,439.3
2021-05,401.3
2021-06,437.4
2021-07,575.5
2021-08,407.6
2021-09,682.0
2021-10,475.3
2021-11,581.3
2021-12,646.9
